Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,16,0,43,43.886740999994345,40.11367800001153,49.2382950000092,445684.0,1.9273402538589317,0.0,44,45,47,47,48,49,49,49,49,49,49
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,8,0,2.158438000037677,2.6282662500136666,2.158438000037677,3.548369000100138,141280.0,0.9636701269294659,0.0,2,3,3,3,4,4,4,4,4,4,4
GET,/wp-content/uploads/2024/10/626311.jpg,14,0,4,8.77409864287009,3.4993269999858967,64.47179999997843,824447.0,1.686422722126565,0.0,4,4,5,5,9,64,64,64,64,64,64
,Aggregated,38,0,5,22.264509657900003,2.158438000037677,64.47179999997843,521143.2105263158,4.577433102914963,0.0,5,41,43,44,48,49,64,64,64,64,64
