Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,1118,0,41,41.65579874865826,37.781224000013935,58.3671269999968,445684.0,10.623763230759684,0.0,41,42,42,43,45,46,49,51,57,58,58
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,552,0,2,2.463789583335147,1.4835969999467125,6.158683999956338,141280.0,5.245364314292796,0.0,2,2,3,3,3,4,4,5,6,6,6
GET,/wp-content/uploads/2024/10/626311.jpg,1162,0,4,4.058728382099079,2.86520700001347,11.07106200004182,824447.0,11.04187198044969,0.0,4,4,4,4,5,6,7,7,10,11,11
,Aggregated,2832,0,4,18.59019676235882,1.4835969999467125,58.3671269999968,541761.5416666666,26.91099952550217,0.0,4,40,41,41,42,44,46,48,57,58,58
