Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,100874,59,900.0,932.9077808256881,37.471650000043155,11180.627963999996,445423.32474175707,81.08146576531617,0.047423582688836105,900,1400,1700,1800,1900,2000,2200,2600,4200,9900,11000
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,50913,26,800.0,847.85177311964,1.4538099999299448,11029.788725999879,141207.85182566338,40.923336702317165,0.020898527964571843,800,1300,1600,1600,1800,1900,2200,2600,4900,10000,11000
GET,/wp-content/uploads/2024/10/626311.jpg,101141,55,790.0,840.0879803450673,2.8848209999523533,11121.270520000053,823998.6695998656,81.29607757172157,0.04420842454044044,790,1300,1600,1600,1800,1900,2100,2600,3900,9600,11000
,Aggregated,252928,140,830.0,878.6696420638698,1.4538099999299448,11180.627963999996,535571.3770796432,203.3008800393549,0.1125305351938484,830,1400,1600,1700,1900,2000,2200,2600,4200,9900,11000
