Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,36241,0,120.0,172.53168192952558,36.49708299963095,1548.3940429985523,445684.0,79.8998638224759,0.0,120,200,260,290,400,460,560,620,760,1300,1500
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,18168,0,55,105.8432359848566,1.342300000032992,2334.3517869998323,141280.0,40.05465428456009,0.0,55,140,180,200,290,360,450,500,650,2200,2300
GET,/wp-content/uploads/2024/10/626311.jpg,36204,0,56,107.37574883233833,2.4900419994082768,2374.3277579997084,824447.0,79.81829060536181,0.0,56,140,180,200,290,360,450,510,670,1900,2400
,Aggregated,90613,0,82,133.12783162357363,1.342300000032992,2374.3277579997084,535983.6675973646,199.7728087123978,0.0,82,160,200,230,330,410,500,560,720,1600,2400
