Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,64584,0,98,224.959473554088,36.55121299925668,5045.436784999765,445684.0,75.32899905053345,0.0,98,220,370,440,590,680,860,990,1200,1600,5000
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,32255,0,35,149.49590226767097,1.3272840005811304,4940.690210998582,141280.0,37.621343744192934,0.0,35,140,240,330,460,560,740,840,1100,1300,4900
GET,/wp-content/uploads/2024/10/626311.jpg,64634,0,37,152.0780120117857,2.468950999173103,5262.943707999511,824447.0,75.38731767360615,0.0,37,150,250,330,460,570,740,840,1100,1500,5300
,Aggregated,161473,0,72,180.7124608821923,1.3272840005811304,5262.943707999511,536488.138908672,188.33766046833253,0.0,72,180,290,370,520,630,780,910,1200,1600,5300
