Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,37,0,41,42.8183580810816,38.57448999997359,56.374069999947096,445684.0,1.863488967296937,0.0,41,42,44,47,50,55,56,56,56,56,56
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,17,0,2.1036929999809217,2.659315411773712,2.1036929999809217,6.952762999958395,141280.0,0.856197633622917,0.0,2,3,3,3,3,7,7,7,7,7,7
GET,/wp-content/uploads/2024/10/626311.jpg,37,0,4,3.8969085405332824,3.2251559999849633,4.948055999989265,824447.0,1.863488967296937,0.0,4,4,4,4,5,5,5,5,5,5,5
,Aggregated,91,0,4,19.490914582416526,2.1036929999809217,56.374069999947096,542819.8571428572,4.583175568216791,0.0,4,39,41,41,44,49,55,56,56,56,56
