Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,44921,1,490.0,705.5569559728215,37.15594499999497,9886.507021999932,445674.078493355,80.59821455735185,0.0017942212897609547,490,960,1300,1400,1700,1900,2100,2200,7300,9700,9900
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,22306,2,360.0,610.0742933154311,1.3976489999549813,10089.510453000003,141267.3325562629,40.02190008940786,0.0035884425795219095,360,840,1100,1300,1600,1700,2000,2100,6600,9800,10000
GET,/wp-content/uploads/2024/10/626311.jpg,45225,6,370.0,612.4795209770524,2.768627000023116,9864.47535000002,824337.6206301824,81.14365782943918,0.01076532773856573,370,830,1100,1300,1600,1700,2000,2100,7400,9600,9900
,Aggregated,112452,9,410.0,649.1838966148767,1.3976489999549813,10089.510453000003,537579.6187973536,201.76377247619888,0.01614799160784859,410,890,1200,1300,1600,1800,2000,2100,7300,9700,10000
