Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,1447,0,40,40.434155626812334,37.57056200004172,60.02381099995091,445684.0,15.114259742826341,0.0,40,41,41,41,42,44,47,48,58,60,60
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,692,0,2,2.472031115604227,1.559697000061533,7.073168999909285,141280.0,7.228104866645355,0.0,2,2,3,3,3,4,5,6,7,7,7
GET,/wp-content/uploads/2024/10/626311.jpg,1428,0,4,4.09080884663579,2.9286319999073385,53.93360000005032,824447.0,14.915800216140992,0.0,4,4,4,4,5,6,6,7,13,54,54
,Aggregated,3567,0,4,18.519916948974316,1.559697000061533,60.02381099995091,538262.0756938604,37.25816482561269,0.0,4,39,40,40,41,42,44,46,53,60,60

