Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2024/10/28/post-com-texto-de-400-kb/,16624,0,90,196.8332147949327,36.58472700044513,4446.510492998641,445684.0,67.3831214759889,0.0,90,180,250,300,470,690,1000,1100,1300,4300,4400
GET,/wp-content/uploads/2024/10/1920x1080-Hd-Pictures-Download-1024x576.jpg,8487,0,24,122.57170984434207,1.370757000586309,2924.740374999601,141280.0,34.40089942051959,0.0,24,110,160,200,360,570,870,930,1200,2900,2900
GET,/wp-content/uploads/2024/10/626311.jpg,16772,0,26,126.28552320140028,2.424065999548475,4167.626266000298,824447.0,67.98301933321017,0.0,26,110,170,210,360,590,890,950,1100,4100,4200
,Aggregated,41883,0,63,153.53442349721277,1.370757000586309,4446.510492998641,535676.0322804002,169.76704022971865,0.0,63,130,200,240,420,630,920,1000,1300,4100,4400
